,SSC-H,SSC-A,FSC-H,FSC-A
17277,192370.0,193976.03125,221.0,-13222.384765625
17278,8784.0,8359.7763671875,4074.0,-2576.304931640625
17279,222715.0,220083.765625,3091.0,-7117.58984375
17280,3515.0,3256.478271484375,410.0,-4419.68505859375
17281,7611.0,8042.45458984375,905.0,-3600.5
17282,30609.0,31345.65234375,977.0,-8713.01953125
17284,2239.0,1979.9013671875,4620.0,3936.0400390625
17285,117210.0,118988.890625,3216.0,-7598.19482421875
17286,13564.0,12744.03515625,2103.0,-6856.52978515625
17287,129000.0,128860.640625,2755.0,521.9299926757812
17288,252498.0,251348.234375,4033.0,1849.0799560546875
17289,1749.0,1110.9276123046875,3082.0,1707.625
